Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,1839,0,880.0,894.2890446424832,53.526500007137656,3546.8601000029594,108.26481783578032,45.58356887791221,0.0,880,1200,1500,1600,1800,1900,2000,2100,2800,3500,3500
,Aggregated,1839,0,880.0,894.2890446424832,53.526500007137656,3546.8601000029594,108.26481783578032,45.58356887791221,0.0,880,1200,1500,1600,1800,1900,2000,2100,2800,3500,3500
