Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,659,0,900.0,913.9211488631872,54.593599983491,4022.34749996569,108.60091047040972,16.35973115185776,0.0,900,1300,1500,1600,1800,2000,2100,2300,4000,4000,4000
,Aggregated,659,0,900.0,913.9211488631872,54.593599983491,4022.34749996569,108.60091047040972,16.35973115185776,0.0,900,1300,1500,1600,1800,2000,2100,2300,4000,4000,4000
