Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,3033,0,1800.0,3576.674794560175,54.60859998129308,17268.52159993723,108.33531157270029,17.30357307560628,0.0,1800,2600,3500,5900,12000,14000,15000,16000,17000,17000,17000
,Aggregated,3033,0,1800.0,3576.674794560175,54.60859998129308,17268.52159993723,108.33531157270029,17.30357307560628,0.0,1800,2600,3500,5900,12000,14000,15000,16000,17000,17000,17000
