Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,2929,0,840.0,878.5096173102819,53.5625999327749,4075.263599981554,108.48856264936839,70.7358380334746,0.0,840,1200,1500,1600,1800,2000,2000,2100,2300,4100,4100
,Aggregated,2929,0,840.0,878.5096173102819,53.5625999327749,4075.263599981554,108.48856264936839,70.7358380334746,0.0,840,1200,1500,1600,1800,2000,2000,2100,2300,4100,4100
