Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,636,0,880.0,1079.8195111620205,54.18350000400096,4105.543000041507,108.54402515723271,15.822618611169778,0.0,900,1400,1700,1800,2100,3200,3700,3900,4100,4100,4100
,Aggregated,636,0,880.0,1079.8195111620205,54.18350000400096,4105.543000041507,108.54402515723271,15.822618611169778,0.0,900,1400,1700,1800,2100,3200,3700,3900,4100,4100,4100
