Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,656,0,860.0,923.7005673781912,54.648300050757825,4026.8096999498084,108.33689024390245,16.339489931886966,0.0,860,1200,1400,1600,1900,2000,2300,3200,4000,4000,4000
,Aggregated,656,0,860.0,923.7005673781912,54.648300050757825,4026.8096999498084,108.33689024390245,16.339489931886966,0.0,860,1200,1400,1600,1900,2000,2300,3200,4000,4000,4000
