Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/generate,330,0,810.0,928.8937609064195,54.88319997675717,4110.183499986306,108.84242424242424,6.693901189641748,0.0,820,1300,1500,1600,1900,2000,3200,3800,4100,4100,4100
,Aggregated,330,0,810.0,928.8937609064195,54.88319997675717,4110.183499986306,108.84242424242424,6.693901189641748,0.0,820,1300,1500,1600,1900,2000,3200,3800,4100,4100,4100
